Suburb,Rooms,Type,Price,Distance,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,Lattitude,Longtitude,PricePerSqFt
Brighton East,3,t,1511000,10.7,2,2,2.0,496,151.96764988779805,1964,-37.9237,145.0075,3046.3709677419356
Brighton East,4,t,1367000,10.7,4,2,2.0,315,4.0,2000,-37.9078,145.0222,4339.68253968254
Brighton East,3,t,1230000,10.7,3,2,2.0,297,193.0,1980,-37.9124,145.0132,4141.414141414141
Brighton East,3,t,1420000,10.7,3,2,2.0,247,151.96764988779805,1964,-37.9241,145.0108,5748.987854251012
Brighton East,2,t,1014000,10.7,2,1,1.0,267,131.0,1990,-37.9055,145.0173,3797.752808988764
Brunswick,4,t,860000,5.2,4,2,1.0,95,97.0,1955,-37.7772,144.9653,9052.631578947368
Brunswick,3,t,940000,5.2,3,2,1.0,186,140.0,2016,-37.7581,144.9514,5053.763440860215
Brunswick,2,t,750000,5.2,2,2,1.0,118,88.0,2013,-37.7723,144.9643,6355.932203389831
Brunswick,2,t,620000,5.2,2,2,1.0,72,2.0,1968,-37.7609,144.969,8611.111111111111
Brunswick,3,t,955000,5.2,3,2,2.0,327,110.0,2007,-37.7636,144.9559,2920.489296636086
Brunswick,1,t,625000,5.2,1,1,1.0,82,114.0,1930,-37.7661,144.9614,7621.951219512195
Brunswick,3,t,815000,5.2,3,2,1.0,99,142.0,1972,-37.769,144.953,8232.323232323231
Brunswick,2,t,754000,5.2,2,2,1.0,177,105.0,2000,-37.7625,144.9653,4259.887005649717
Brunswick,2,t,801000,5.2,2,2,1.0,156,87.0,2007,-37.7744,144.9498,5134.615384615385
Brunswick,3,t,820000,5.2,3,2,2.0,4668,126.0,2011,-37.7687,144.9649,175.66409597257928
Brunswick,3,t,640000,5.2,3,2,1.0,110,118.0,2000,-37.7776,144.9691,5818.181818181818
Brunswick,3,t,705000,5.2,2,1,1.0,55,111.0,2012,-37.7611,144.9622,12818.181818181818
Brunswick West,3,t,797500,5.9,3,2,2.0,262,155.0,2010,-37.7519,144.9324,3043.8931297709923
Brunswick West,2,t,735000,5.9,2,1,2.0,120,109.0,2004,-37.7659,144.9487,6125.0
Brunswick West,3,t,815000,5.9,3,1,2.0,157,123.0,1999,-37.7652,144.9454,5191.08280254777
Brunswick West,2,t,598000,5.9,2,1,1.0,69,178.4,2009,-37.766,144.9439,8666.666666666666
Bulleen,3,t,975000,11.8,3,2,2.0,632,226.0,2013,-37.7813,145.102,1542.7215189873418
Bulleen,3,t,1250000,11.8,3,2,2.0,315,70.0,1960,-37.7607,145.0853,3968.253968253968
Burwood,3,t,780000,11.7,3,2,2.0,160,151.96764988779805,1964,-37.8525,145.0973,4875.0
Burwood,3,t,752000,11.7,4,2,2.0,217,184.4,1993,-37.8522,145.1312,3465.4377880184334
Burwood,3,t,745000,11.7,3,1,2.0,228,126.0,1998,-37.8521,145.1187,3267.5438596491226
Burwood,3,t,1145000,11.7,3,2,2.0,329,151.96764988779805,1964,-37.8484,145.1013,3480.243161094225
Burwood,4,t,1270000,11.7,4,2,2.0,399,212.0,2005,-37.8597,145.1084,3182.9573934837094
Burwood,4,t,900000,11.7,4,3,2.0,381,176.0,2013,-37.8459,145.1041,2362.2047244094488
Burwood,3,t,702000,11.7,3,2,1.0,170,106.0,2001,-37.8554,145.1089,4129.411764705882
Camberwell,3,t,1615000,7.8,3,1,2.0,389,151.96764988779805,1964,-37.8435,145.0695,4151.670951156812
Camberwell,3,t,1300000,7.8,3,2,2.0,342,151.96764988779805,1964,-37.8433,145.0695,3801.1695906432747
Camberwell,2,t,900400,7.8,2,1,1.0,93,111.0,1975,-37.8314,145.0611,9681.720430107527
Camberwell,3,t,1250000,7.8,3,2,2.0,232,151.96764988779805,1964,-37.842,145.0542,5387.931034482759
Camberwell,3,t,930000,7.8,3,2,2.0,132,76.8,1970,-37.8489,145.088,7045.454545454545
Camberwell,3,t,1515000,7.8,3,2,2.0,318,151.96764988779805,1964,-37.8447,145.0916,4764.1509433962265
Camberwell,3,t,1625000,7.8,3,2,2.0,283,160.0,1990,-37.8362,145.064,5742.049469964664
Camberwell,2,t,775000,7.8,2,2,1.0,103,151.96764988779805,1964,-37.8406,145.0545,7524.271844660194
Canterbury,4,t,1550000,9.0,4,2,4.0,318,232.0,1947,-37.822,145.0864,4874.213836477988
Canterbury,3,t,1680000,9.0,3,2,2.0,387,151.96764988779805,1964,-37.8227,145.0845,4341.085271317829
Canterbury,4,t,1742000,9.0,4,2,2.0,780,151.96764988779805,1964,-37.8206,145.0678,2233.3333333333335
Canterbury,4,t,1420000,9.0,3,2,2.0,278,151.96764988779805,1964,-37.8273,145.0752,5107.913669064748
Carlton North,2,t,765000,3.2,2,1,1.0,1031,76.8,1970,-37.784,144.9715,741.9980601357905
Carnegie,2,t,795000,11.4,2,2,1.0,133,104.0,2009,-37.8911,145.0539,5977.443609022556
Carnegie,3,t,860000,11.4,3,2,1.0,1113,113.0,1990,-37.8972,145.0642,772.6864330637916
Carnegie,2,t,700000,11.4,2,2,1.0,106,151.96764988779805,1964,-37.8881,145.0535,6603.773584905661
Carnegie,2,t,930000,11.4,2,2,1.0,166,170.0,2009,-37.8982,145.0488,5602.409638554217
Carnegie,2,t,707000,11.4,2,1,1.0,144,96.0,2000,-37.892,145.0482,4909.722222222223
Carnegie,3,t,970000,11.4,3,2,2.0,325,223.0,2005,-37.8933,145.0546,2984.6153846153848
Carnegie,2,t,855000,11.4,2,1,1.0,158,106.0,1994,-37.8886,145.052,5411.392405063291
Carnegie,4,t,1100000,11.4,4,3,2.0,305,221.6,1996,-37.8978,145.0506,3606.55737704918
Carnegie,3,t,808000,11.4,3,1,1.0,111,116.0,1998,-37.8889,145.0495,7279.279279279279
Carnegie,3,t,860000,11.4,3,1,2.0,277,135.0,1978,-37.8978,145.0624,3104.693140794224
other,4,t,1600000,8.9,4,3,2.0,812,151.96764988779805,1964,-37.8864,145.0326,1970.4433497536945
Caulfield South,4,t,1030000,9.3,4,2,2.0,216,165.0,1995,-37.8887,145.0318,4768.518518518518
Caulfield South,4,t,1410000,9.3,4,2,3.0,342,181.0,2005,-37.8957,145.0196,4122.80701754386
Chadstone,3,t,752000,13.6,3,2,1.0,182,151.96764988779805,1964,-37.8786,145.1015,4131.868131868132
Chadstone,3,t,865000,13.6,3,2,2.0,277,143.0,2010,-37.8796,145.1044,3122.7436823104695
Chadstone,4,t,1042500,13.6,4,3,2.0,209,160.0,2016,-37.8805,145.105,4988.0382775119615
Chadstone,4,t,965000,13.6,4,3,2.0,273,182.0,2012,-37.8742,145.105,3534.798534798535
Chadstone,3,t,845000,13.6,3,2,1.0,177,111.0,2012,-37.8824,145.1042,4774.011299435028
Chadstone,4,t,881000,13.6,3,2,1.0,188,137.0,2014,-37.8781,145.0955,4686.170212765957
Clifton Hill,3,t,930000,3.4,3,2,1.0,124,116.0,2000,-37.7934,144.9923,7500.0
Clifton Hill,3,t,825000,3.4,3,3,1.0,67,119.0,2010,-37.7946,144.9989,12313.432835820895
Coburg,3,t,865000,7.8,3,2,2.0,263,177.4,2008,-37.7546,144.9713,3288.9733840304184
Coburg,3,t,740000,7.8,3,2,1.0,255,164.0,2014,-37.7546,144.9713,2901.9607843137255
Coburg,2,t,610000,7.8,2,2,1.0,114,151.96764988779805,1964,-37.7466,144.9482,5350.877192982456
Coburg,3,t,640000,7.8,3,1,2.0,119,109.0,1995,-37.7403,144.9491,5378.151260504202
Coburg,2,t,657000,7.8,2,1,2.0,138,151.96764988779805,1964,-37.7427,144.9711,4760.869565217391
Coburg,2,t,635000,7.8,2,1,1.0,97,95.0,2014,-37.7516,144.9623,6546.3917525773195
Coburg,2,t,598000,7.8,2,1,1.0,108,100.0,2007,-37.7379,144.9617,5537.037037037037
Coburg,2,t,599000,7.8,2,2,1.0,76,151.96764988779805,1964,-37.7474,144.9621,7881.578947368421
Coburg,3,t,600000,7.8,3,1,1.0,102,95.0,1976,-37.736,144.9665,5882.35294117647
Coburg,3,t,687000,7.8,3,1,1.0,116,140.0,1995,-37.7454,144.9487,5922.413793103448
Coburg,3,t,810000,7.8,3,2,1.0,213,131.0,2010,-37.7461,144.9584,3802.8169014084506
Coburg North,3,t,631000,9.2,3,1,1.0,178,120.0,2012,-37.7297,144.9645,3544.9438202247193
Coburg North,2,t,600000,9.2,2,1,1.0,145,105.0,2010,-37.7295,144.9641,4137.931034482759
Coburg North,2,t,570000,9.2,2,2,2.0,186,151.96764988779805,1964,-37.7263,144.9843,3064.516129032258
Collingwood,2,t,750000,1.6,2,1,1.0,115,151.96764988779805,1964,-37.7968,144.9891,6521.739130434783
Collingwood,3,t,910000,1.6,3,1,1.0,171,151.96764988779805,1964,-37.8006,144.9925,5321.637426900585
Collingwood,3,t,897500,1.6,3,2,1.0,82,82.0,1995,-37.7961,144.9873,10945.121951219513
Collingwood,3,t,887500,1.6,3,2,1.0,81,82.0,2000,-37.7961,144.9874,10956.79012345679
Doncaster,4,t,855000,13.9,4,2,2.0,242,151.96764988779805,1964,-37.7915,145.1258,3533.0578512396696
Doncaster,3,t,746000,13.9,3,2,2.0,118,106.0,2013,-37.7863,145.106,6322.033898305085
Doncaster,4,t,985000,13.9,4,2,2.0,182,160.0,1998,-37.7888,145.138,5412.087912087912
Doncaster,4,t,1350000,13.9,4,3,2.0,711,70.0,1960,-37.7887,145.1086,1898.73417721519
Doncaster,3,t,1102200,13.9,3,2,2.0,233,175.0,2012,-37.7881,145.1371,4730.472103004292
Doncaster,4,t,973500,13.9,4,2,2.0,234,160.0,2009,-37.7932,145.1275,4160.25641025641
Doncaster,3,t,888000,13.9,3,2,1.0,192,151.96764988779805,1964,-37.7942,145.1256,4625.0
Elsternwick,3,t,820000,8.5,3,2,2.0,108,3.0,2002,-37.8858,145.0012,7592.592592592592
Elsternwick,3,t,1071000,8.5,3,2,2.0,179,125.0,2000,-37.8961,145.0125,5983.2402234636875
Elsternwick,3,t,850000,8.5,3,2,2.0,108,142.0,2000,-37.8861,145.0014,7870.37037037037
Elwood,3,t,1350000,7.7,3,2,2.0,1170,151.96764988779805,1964,-37.8831,144.9801,1153.8461538461538
Elwood,3,t,1395000,7.7,3,2,1.0,400,126.0,1996,-37.8829,144.9797,3487.5
Elwood,3,t,920000,7.7,3,2,2.0,758,18.0,2010,-37.8768,144.9845,1213.7203166226914
Essendon,2,t,595000,8.0,2,1,2.0,752,89.0,1990,-37.7553,144.9302,791.2234042553191
Essendon,4,t,1250000,8.0,3,3,2.0,374,267.0,2015,-37.7507,144.8911,3342.2459893048126
Essendon,3,t,650000,8.0,3,2,1.0,160,129.0,1985,-37.7403,144.8989,4062.5
Essendon,3,t,1000000,8.0,3,2,1.0,291,224.0,2013,-37.7499,144.8927,3436.426116838488
Essendon,3,t,720000,8.0,3,1,2.0,190,142.0,1999,-37.7418,144.8918,3789.4736842105262
Essendon,3,t,750000,8.0,3,1,1.0,253,145.0,1997,-37.7397,144.898,2964.4268774703555
Essendon,3,t,935000,8.0,3,2,2.0,247,151.96764988779805,1964,-37.7462,144.8949,3785.425101214575
Fairfield,3,t,846000,5.8,3,1,1.0,185,107.0,1990,-37.7665,145.0175,4572.972972972973
Fairfield,2,t,805000,5.8,2,1,1.0,140,2.0,2008,-37.7697,145.0203,5750.0
Fitzroy North,2,t,930000,3.5,2,3,0.0,2778,3558.0,1936,-37.7903,144.9859,334.7732181425486
Fitzroy North,3,t,1015000,3.5,3,2,1.0,112,145.0,2000,-37.7912,144.9825,9062.5
Fitzroy North,3,t,1600000,3.5,3,3,1.0,188,129.0,2000,-37.7829,144.9788,8510.63829787234
Fitzroy North,4,t,1700000,3.5,4,3,2.0,127,209.0,2008,-37.7855,144.9789,13385.826771653543
Fitzroy North,3,t,1080000,3.5,3,2,1.0,77,133.0,2016,-37.7923,144.9776,14025.974025974027
Footscray,3,t,585000,6.4,3,1,1.0,259,151.96764988779805,1964,-37.7955,144.9063,2258.6872586872587
Footscray,4,t,841000,6.4,4,2,2.0,250,160.0,2000,-37.7959,144.8989,3364.0
Footscray,2,t,480000,6.4,2,1,1.0,556,75.0,2010,-37.7919,144.8854,863.3093525179856
Footscray,3,t,714000,6.4,3,2,2.0,164,3.0,2008,-37.7948,144.8868,4353.658536585366
Footscray,2,t,560000,6.4,2,1,1.0,111,151.96764988779805,1964,-37.7969,144.8852,5045.045045045045
Footscray,2,t,410000,6.4,2,2,1.0,65,80.0,2014,-37.7881,144.8838,6307.692307692308
Footscray,3,t,820000,6.4,3,2,1.0,122,151.96764988779805,1964,-37.8021,144.8976,6721.311475409836
Footscray,3,t,699000,6.4,3,1,1.0,125,113.0,2000,-37.7922,144.8831,5592.0
Footscray,3,t,735000,6.4,3,2,2.0,112,168.0,2010,-37.8001,144.8797,6562.5
Footscray,3,t,757000,6.4,3,2,2.0,102,102.0,2011,-37.7987,144.8807,7421.568627450981
Glen Iris,3,t,1625000,9.2,3,2,2.0,365,151.96764988779805,1964,-37.8526,145.0853,4452.054794520548
Glen Iris,1,t,345000,9.2,1,1,1.0,745,44.0,1970,-37.8505,145.0459,463.0872483221477
Glen Iris,2,t,585000,9.2,2,1,1.0,84,84.0,1960,-37.8517,145.0796,6964.285714285715
Glen Iris,3,t,1220000,9.2,3,2,2.0,278,155.8,1999,-37.8574,145.0496,4388.489208633094
Glen Iris,4,t,1350000,9.2,3,2,2.0,342,151.96764988779805,1964,-37.8622,145.0634,3947.3684210526317
Glen Iris,3,t,1200000,9.2,3,2,2.0,541,151.96764988779805,1964,-37.8628,145.0486,2218.1146025878
Glenroy,3,t,555000,13.0,3,2,2.0,244,3.0,2003,-37.6969,144.9299,2274.590163934426
Glenroy,3,t,370000,13.0,3,2,1.0,259,126.2,2003,-37.6977,144.9149,1428.5714285714287
Glenroy,3,t,545000,13.0,3,2,1.0,136,130.0,2014,-37.7112,144.9142,4007.3529411764707
